legislature,id_loi,etape_discussion,id_amendement,date_amendement,etape_texte,action_amendement,resume_amendement,url_pdf,statut_amendement,auteur,groupe_politique,statut_auteur,co-signataires
14,PRJLANR5L14B0071,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0071P0D1N407,2012-07-12T00:00:00Z,Article 27,"Après le mot : « est », la fin de la première phrase du neuvième alinéa du V de l'article 43 de la loi n° 99‑1172 du 30 décembre 1999 de finances pour 2000 est ainsi rédigée : « , pour le laboratoire de Bure en Meuse, réparti en deux parts entre les départements de la Meuse et de la Haute‑Marne, à raison de 60 % pour la Meuse et 40 % pour la Haute‑Marne, et ce, à compter du 1er janvier 2013 ».","L’objectif du présent amendement est de proposer une nouvelle répartition entre les départements de la Meuse et de la Haute-Marne. Le laboratoire de Bure est situé sur le département de la Meuse et une infime partie dans un rayon de 10 km déborde en Haute-Marne.
Aussi, la Meuse accueille l’ensemble des installations dédiées au laboratoire et devra recevoir le site de stockage réversible en couches géologiques profondes des déchets nucléaires (Centre industriel de stockage géologique pour les déchets Haute Activité et Moyenne Activité à Vie Longue- CIGEO).
Si le projet d’une zone interdépartementale d’activité économique est prévue, mais toujours pas réalisée, par les deux Conseils généraux, il est donc indispensable d’appliquer dès maintenant la répartition des ressources fiscales liées au laboratoire et au futur centre de stockage à partir de l’accord acté par le Comité de Haut Niveau, soit 60 % pour la Meuse et 40 % pour la Haute-Marne, et ce, en tenant compte du calendrier CIGEO.
Aujourd’hui les deux départements reçoivent chacun 30 millions d’euros, sur les 60 millions annuels versés pour les années 2010, 2011 et 2012.",/14/amendements/0071/AN/407.pdf,Discuté,Jean-Louis Dumont,SER,Depute,Jean-Louis Dumont
14,PRJLANR5L14B0071,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0071P0D1N405,2012-07-12T00:00:00Z,Article 27,"Le V de l’article 43 de la loi n° 99‑1172 du 30 décembre 1999 de finances pour 2000 est ainsi modifié :
1° Le début du cinquième alinéa est ainsi rédigé : « À compter du 1er janvier 2014 et pour la durée d’exploitation de l’installation, les valeurs...(le reste sans changement) » ;
2°  Le tableau du sixième alinéa est ainsi modifié :
a) À la troisième ligne de la deuxième colonne, le nombre : « 5,27 » est remplacé par le nombre : « 6,5 » ;
b) À la troisième ligne de la troisième colonne, le nombre : « 1,73 » est remplacé par le nombre : « 2 » ;
c) À la troisième ligne de la quatrième colonne, le nombre : « 0,87 » est remplacé par le nombre : « 1 » ;
d) À la quatrième ligne de la deuxième colonne, le nombre : « 6,08 » est remplacé par le nombre : « 6,5 » ;
e) À la cinquième ligne de la deuxième colonne, le nombre : « 6,08 » est remplacé par le nombre : « 6,5 » ;
f) À la sixième ligne de la deuxième colonne, le nombre : « 5,32 » est remplacé par le nombre : « 6,5 » ;
g) À la sixième ligne de la troisième colonne, le nombre : « 1,75 » est remplacé par le nombre : « 2 » ;
h) À la sixième ligne de la quatrième colonne, le nombre : « 0,88 » est remplacé par le nombre : « 1 ».","L’objectif du présent amendement est d’augmenter le montant des taxes additionnelles alimentant la redevance liée au laboratoire de Bure en Meuse et d’augmenter à due concurrence le versement, actuellement de 30 millions d’euros.",/14/amendements/0071/AN/405.pdf,Discuté,Jean-Louis Dumont,SER,Depute,Jean-Louis Dumont
14,PRJLANR5L14B0071,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0071P0D1N413,2012-07-12T00:00:00Z,Article 27,"Le début du cinquième alinéa du V de l'article 43 de la loi n° 99–1172 du 30 décembre 1999 de finances pour 2000 est ainsi rédigé : « À compter du 1er janvier 2013, les valeurs...(le reste sans changement) ».","L’objectif du présent amendement est de prolonger la redevance ANDRA liée au versement des taxes additionnelles dues par l’exploitant des installations du laboratoire de Bure en Meuse pour l’année 2013 et suivantes, autant d’années que le laboratoire sera en exploitation.",/14/amendements/0071/AN/413.pdf,Discuté,Jean-Louis Dumont,SER,Depute,Jean-Louis Dumont
14,PRJLANR5L14B0071,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0071P0D1N179,2012-07-12T00:00:00Z,Article 4,"Après la référence :
« 784, »,
rédiger ainsi la fin de l'alinéa 7
« les mots : « de celles passées depuis plus de dix ans » sont remplacés par les mots : « d’une seule donation antérieure et, le cas échéant, d’une donation de l’immeuble constituant au jour de la donation la résidence principale du donateur ». ».

","Les ménages ayant la possibilité de léguer à leurs enfants plus d'une fois dans la vie 100 000 euros sont extrêmement peu nombreux. En effet le patrimoine médian en France se situe à 150 200 euros. Les 10 % les mieux dotés ont au moins 552 300 euros de patrimoine brut et détiennent près de la moitié de la masse totale de celui-ci. Enfin, les 1 % des ménages les plus riches en termes de patrimoine détiennent chacun plus de 1,9 million d'euros d'avoirs. Cet abattement fiscal concerne donc une infime minorité de ménages déjà privilégiés.
Les dispositions actuellement contenues dans le code général des impôts et modifiées par la loi de finances rectificative permettront de verser, tous les 15 ans, 100 000 euros par personne  et par enfant exonéré d'impôts, ce qui permet par exemple à des parents avec deux enfants de verser 400 000 euros tous les 15 ans. Cette somme est particulièrement importante au regard de l'imposition à laquelle sont soumis les revenus.
Cet amendement vise à rompre avec la République des héritiers, en privilégiant les revenus dégagés par les innovateurs et les créateurs d'emploi par rapport au patrimoine qui aboutit a une reproduction et un renforcement des inégalités entre les citoyens, encore plus rapide ces dernières années. Les inégalités de patrimoine ont en effet augmenté de 30 % entre 2004 et 2010 et sont 50 fois plus fortes que les inégalités de revenu. La fonction redistributive de l'impôt doit donc pleinement jouer son rôle qui a été négligé ces 20 dernières années.",/14/amendements/0071/AN/179.pdf,Irrecevable,Razzy Hammadi,SER,Depute,Razzy Hammadi
14,PRJLANR5L14B0071,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0071P0D1N395,2012-07-12T00:00:00Z,Article 6,"Après l'alinéa 1, insérer l'alinéa suivant :
« 1° A À la première phrase du premier alinéa du I, les mots : « un milliard » sont remplacés par les mots : « cent-cinquante millions ».",Amendement d'élargissement du seuil de capitalisation boursière à partir duquel les entreprises sont soumises à la taxe sur les transactions financières.,/14/amendements/0071/AN/395.pdf,Discuté,Laurent Grandguillaume,SER,Depute,Laurent Grandguillaume
14,PRJLANR5L14B0071,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0071P0D1N410,2012-07-12T00:00:00Z,de finances rectificative pour 2012,"I-Après l’article 43, alinéa 4 du V, LoiLoi n°99-1172 du 30 décembre 1999, modifié par la Loi n° 2011-1977 du 28 décembre 2011-art.46 (V), est ainsi rédigé « A compter du 1er janvier 2014 et pour  la durée d’exploitation de l’installation, les valeurs des coefficients s’appliquant aux catégories d’installations visées dans le tableau précédent sont fixées comme suit : »
 
II- A la 3ème ligne de la 2ème colonne du tableau du paragraphe 4, substituer au nombre : « 5,27 » le nombre : « 6,5 ». 
A la 3ème ligne de la 3ème colonne du tableau du paragraphe 4, substituer au nombre : « 1,73 » le nombre : « 2 ». 
A la 3ème ligne de la 4ème colonne du tableau du paragraphe 4, substituer au nombre : « 0,87 » le nombre : « 1 ». 
A la 4ème ligne de la 2ème colonne du tableau du paragraphe 4, substituer au nombre : « 6,08 » le nombre : « 6,5 ». 
A la 5ème ligne de la 2ème colonne du tableau du paragraphe 4, substituer au nombre : « 6,08 » le nombre : « 6,5 ». 
A la 6ème ligne de la 2ème colonne du tableau du paragraphe 4, substituer au nombre : « 5,32 » le nombre : « 6,5 ». 
A la 6ème ligne de la 3ème colonne du tableau du paragraphe 4, substituer au nombre : « 1,75 » le nombre : « 2 ». 
A la 6ème ligne de la 4ème colonne du tableau du paragraphe 4, substituer au nombre : « 0,88 » le nombre : « 1 ». 
 
 ","L’objectif du présent amendement est d’augmenter le montant des taxes additionnelles alimentant la redevance liée au laboratoire de Bure en Meuse et d’augmenter à due concurrence le versement, actuellement de 30 millions d’euros.",/14/amendements/0071/AN/410.pdf,Retiré,Jean-Louis Dumont,SER,Depute,Jean-Louis Dumont
14,PRJLANR5L14B0235,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0235P2D1N521,2012-11-09T00:00:00Z,Article 68,"Après l’alinéa 2, insérer l’alinéa suivant :
« 1° bis Au 5° et à la première phrase de l'avant‑dernier alinéa du I, après la référence : « 3° », est insérée la référence : « du I » ; ».","Amendement de coordination.
 ",/14/amendements/0235C/AN/521.pdf,Discuté,Pascal Terrasse,SER,Depute,Pascal Terrasse
14,PRJLANR5L14B0235,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0235P2D1N519,2012-11-09T00:00:00Z,Article 67,"Après l’alinéa 80, insérer les trois alinéas suivants :
« 20° Aux a) et b) du 2° du I. de l’article L. 5217‑13, après la référence : « 3° », est insérée, par deux fois, la référence : « du I ».
« I bis. – 1° À l’article L. 133‑11 du code du tourisme, la référence : « huitième alinéa du 4° » est remplacée par la référence : « deuxième alinéa du II » ;
« 2° Le II de l’article 20 de la loi n° 2006‑436 du 14 avril 2006 relative aux parcs nationaux, aux parcs naturels marins et aux parcs naturels régionaux est abrogé ; ».","Amendement de coordination.
 ",/14/amendements/0235C/AN/519.pdf,Discuté,Pascal Terrasse,SER,Depute,Pascal Terrasse
14,PRJLANR5L14B0235,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0235P2D1N705,2012-11-12T00:00:00Z,Article 59,"Le a bis de l’article L. 135 B du livre des procédures fiscales, est complété par une phrase ainsi rédigée : « Pour un produit local intégrant le risque de caisse, ces montants sont ventilés par date et type d’encaissement ; »","L’article 100 de la loi de finances pour 2012 a sécurisé l’accès des collectivités locales au détail des données sur la CVAE, basées sur les déclarations des contribuables.
Contrairement aux produits CVAE versés en 2011 aux collectivités locales qui correspondaient aux montants déclarés pour un millésime de valeur ajoutée, les produits 2012 correspondent aux montants versés l’année précédente.
Les collectivités locales sont ainsi exposées aux risques de caisse.
Cet amendement vise ainsi à compléter les informations restituées sur la CVAE pour permettre d’identifier cet écart avec les montants déclarés.
Il importe en effet de pouvoir distinguer dans cet écart ce qui relève des ajustements effectués par l’entreprise elle-même (ajustement légal lors du versement des acomptes, en fonction de ses anticipations de réalisation de chiffre d’affaires et valeur ajoutée à clôture de l’exercice, rattrapage sur millésime antérieur et pénalités), de ce qui relève des activités de redressements.
 ",/14/amendements/0235C/AN/705.pdf,Discuté,Alain Rousset,SER,Depute,Alain Rousset
14,PRJLANR5L14B0235,1ère lecture (1ère assemblée saisie),AMANR5L14SEA644420B0235P2D1N411,2012-11-08T00:00:00Z,Article 66,"À l’alinéa 4, substituer aux mots :
« 3 CIF »,
les mots :
« la Caisse Centrale du Crédit Immobilier de France ».","Amendement de précision.
 ",/14/amendements/0235C/AN/411.pdf,Discuté,Dominique Lefebvre,SER,Depute,Dominique Lefebvre
