Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2016,OPERA NATIONAL DE BORDEAUX,16167670,
2016,ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE BORDEAUX - ACAQB,8060927.5,"Communication, locaux, équipements sportifs,"
2016,CCAS DE BORDEAUX,7912204,
2016,ECOLE D'ENSEIGNEMENT SUPERIEUR D'ART DE BORDEAUX - ESAB,3120000,
2016,ASSOCIATION PITCHOUN,1735000,Locaux
2016,THEATRE NATIONAL DE BORDEAUX EN AQUITAINE - TNBA,1646816,"Communication, locaux"
2016,ASSOCIATION PETITE ENFANCE ENFANCE ET FAMILLE - APEEF,1578403,"Locaux, matériel pour manifestations"
2016,UNION SAINT-BRUNO ,1537650,"Locaux, équipements sportifs, matériel pour"
2016,SPORTING CHANTECLER BORDEAUX NORD LE LAC ,1128560,"Locaux, équipements sportifs, matériel pour"
2016,AVANT GARDE ET JEANNE D'ARC DE BORDEAUX CAUDERAN - AGJA BORDEAUX CAUDERAN,1089439,"Locaux, équipements sportifs, matériel pour"
2016,UNION SPORTIVE LES CHARTRONS ,896350,"Locaux, équipements sportifs, matériel pour"
2016,LES JEUNES DE SAINT AUGUSTIN - JSA ,892663,"Locaux, équipements sportifs, matériel pour"
2016,UNION SAINT JEAN - MAISON DE QUARTIER ,879983,"Locaux, équipements sportifs, matériel pour"
2016,STADE BORDELAIS - ASPTT ,819458,"Locaux, équipements sportifs, matériel pour"
2016,ARC EN REVE,752250,"Communication, matériel pour manifestations, locaux"
2016,"MAISON DE L'EMPLOI, DE L'INSERTION ECONOMIQUE ET DE L'ENTREPRISE DE BORDEAUX",678000,
2016,"CLUB PYRENEES AQUITAINE, ASSOCIATION SPORTIVE, EDUCATIVE ET CULTURELLE",634600,"Locaux, équipements sportifs, matériel pour"
2016,P'TIT BOUT'CHOU,567000,Matériel pour manifestations
2016,ASSOCIATION BRINS D'EVEIL,532800,
2016,ASSOCIATION DE GESTION ET D'ANIMATION DES CRECHES C.S.F. (AGEAC/CSF),512833.33,
2016,MISSION LOCALE BORDEAUX AVENIR JEUNES,494000,"Locaux, matériel pour manifestations"
2016,GP INTENCITE CENTRE SOCIAL ET CULTUREL DU GRAND PARC,492222,"Locaux, matériel pour manifestations"
2016,INTERLUDE,478850,"Locaux, matériel pour manifestations"
