web-scraper-start-url,nom,description,adresse,code postal,telephone,president,site web,categorie
https://assos.bordeaux.fr/association/detail/1857,PERCAL TANGO,"Promouvoir la culture argentine à travers la musique, la danse, le théâtre. Création et vente des spectacles vivants.",86 Cours Victor Hugo                                                                                                ,33000,05 40 05 22 45,null,null,null
https://assos.bordeaux.fr/association/detail/634,ARTISANS DU MONDE BORDEAUX - ADM,Promouvoir le commerce équitable afin de permettre aux producteurs de pays ou régions défavorisés de vivre dignement de leur travail et être acteur de leur développement. Permettre aux consommateurs d'être informés sur les dysfonctionnements du commerce international. Contribuer à changer les mécanismes du commerce international,30 rue du Parlement Saint Pierre                                                                                                ,33000,05 56 44 23 33,null,admbordeaux.org,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/955,CERCLE PHILATÉLIQUE BORDEAUX AQUITAINE - CPBA,"Association philatélique (collection de timbres) et marcophile (marques postales) atteignant une dizaine d'années d'existence forte de 160 membres actifs. Cette association est ouverte à tous les philatélistes débutants ou confirmés, de tous les âges. Ses adhérents ont la possibilité de se réunir pour échanger et chercher des pièces manquantes à leurs collections, 4 samedis par mois.",8 Rue de Blois                                    Chez M. Langella                                                                                                             ,33600,05 56 07 24 64,Gérard Langella,null,Loisirs
https://assos.bordeaux.fr/association/detail/588,ALLO AMIANTE,Défense des victimes de l'amiante et des victimes de maladies professionnelles faisant suite à une exposition aux autres agents cancérigènes ; prévention chez les particuliers et éradication de l'amiante,"5 place, Amédée St Germain                                                                                                ",33800,05 56 91 60 69,Georges ARNAUDEAU,null,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/680,CENTRE ACCUEIL CONSULTATION INFORMATION SEXUALITÉ - CACIS,"Dans une démarche d’éducation populaire, le CACIS se donne pour finalité de permettre à toute personne, jeune ou adulte, de trouver les moyens de vivre sa sexualité dans notre société et d’agir contre toute forme d’exclusion liée à la santé, à la sexualité et au genre.",Place de l'Europe                                                                BP 44                                ,33030,05 56 39 11 69,Brigitte Tandonnet,cacis-pro.fr,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/1132,HANDI CAP NOUVELLE AQUITAINE - HCNA,"Handi CAP Nouvelle Aquitaine est une association loi 1901 qui a pour objet d'informer les personnes touchées et concernées par le handicap ou la perte d'autonomie sur les loisirs accessibles des secteurs du tourisme, de la culture, du sport présents en Nouvelle Aquitaine. Elle fait coopérer les partenaires de ces secteurs pour collecter et organiser la diffusion de ces informations.",436 av de Verdun                                                                                                ,33700,05 56 12 39 39,Patrick TREINS,null,null
https://assos.bordeaux.fr/association/detail/1394,ASSOCIATION DES SAHRAOUIS À BORDEAUX  - ASB,"Notre association a pour but de faire connaitre et reconnaître le peuple du Sahara Occidental, son histoire, sa culture, sa vie, son territoire et ses ressources auprès de l'opinion française et internationale. Mais aussi de soutenir les sahraouis dans les difficultés matérielles quotidiennes et dans la lutte pacifique vers la résolution du problème de décolonisation de leur pays.",9 bis cours Edouard Vaillant                                                                                                ,33300,06 05 90 55 41,Mohamed Salem Mohamed Brahim,null,Culture
https://assos.bordeaux.fr/association/detail/1820,LES CRAYONNEUSES,"Action de médiation artistique, culturelle, bien-être. Création d'ouvrages et objets papiers.",3 chemin du Grand Port                                                                                                ,33880,06 87 19 99 02,null,lescrayonneuses.com,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/515,OPÉRA BASTIDE - OB,"la compagnie Opéra Bastide représentait initialement un espace de création où l'apprentissage du métier se fait immédiatement par la scène, au contact du public, en dehors du cadre institutionnel.",BP 24                                                                BP 24                                ,33034,06 58 52 19 58,null,null,Culture
https://assos.bordeaux.fr/association/detail/713,ASSOCIATION DES AMIS D’ELIANE LAVAIL - AMIDEL,,pas d'adresse,,,null,null,null
https://assos.bordeaux.fr/association/detail/615,MAM'AN LES TI'BATEAUX,"L’objet de l’association de maison d’assistant(e)s maternel(le)s est le suivant :
Création, ouverture et gestion d'une maison d'assistant(e)s maternel(le)s (M.A.M.) avec un projet de mixité dans l'accueil d'enfants non porteurs de handicaps âgés de deux mois et demi à quatre ans et d'enfants porteurs de handicaps ou atteints d'une maladie chronique âgés de deux mois et demi à six ans.",06 Place Philippe Lebon                                                                                                ,33300,06 79 08 95 93,Christine MOUNIER,,Education - Enfance - Jeunesse - Vie étudiante
https://assos.bordeaux.fr/association/detail/1405,WINE WILD WEST,L'association Wine Wild West a pour objet : l’organisation et la promotion d’un rassemblement annuel de danseurs de west coast swing en région bordelaise dénommé Wine Wild West. Ce rassemblement est un festival qui comprend des cours de danse et soirées de west coast swing. De plus le festival propose des découvertes œnologiques et de spécialités Bordelaises.,10 impasse Manes                                 Chez Mme Dubernet                                                                                                             ,33110,06 52 06 18 13,null,www.winewildwest-bordeaux.fr,Culture
https://assos.bordeaux.fr/association/detail/1194,UNION SAINT-BRUNO - USB,Favoriser la pratique du sport sous toutes ses formes au titre du loisir et/ou de la compétition.,49 rue Brizard                                                                                                ,33000,05 56 96 33 53,null,www.saint-bruno.org,Sport
https://assos.bordeaux.fr/association/detail/1053,BXA - ESPRIT VOILE - BXA EV,"Proposer la découverte et le perfectionnement à la voile au départ de Bordeaux sur l'estuaire de la Gironde avec le voilier habitable de l’association (7,5 m ESTE 24).
Développer, promouvoir et favoriser des activités à caractère culturel et sportif dans le domaine du nautisme avec comme champ d’action les bassins à flot de Bordeaux, la ville de Bordeaux et au delà.",Bld Alfred DANEY                                 Quai ouest Bassin à flot n° 2                                                                                                             ,33300,07 69 17 50 70,null,www.bxaespritvoile.fr,Sport
https://assos.bordeaux.fr/association/detail/567,ASSOCIATION PARLECOUTER,"Enseigner l'apprentissage d'outils de communication bienveillante et respectueuse, basés sur l'écoute active, profonde et sans jugement, sur le développement de l'empathie, pour une meilleure compréhension de l'autre et de soi. L'association vise à créer des conditions favorables à l'éducation et l'accompagnement des enfants / adolescents, à instaurer des relations plus sereines en famille et en société.","11 rue du Palais Gallien, Appt A314                                                                                                ",33000,06 78 66 97 33,null,parlecouter.wixsite.com/bordeaux,Education - Enfance - Jeunesse - Vie étudiante
https://assos.bordeaux.fr/association/detail/1441,AIDOMI,"AIDOMI est une association d'aide et de soins à domicile organisée en Service Polyvalent d'Aide et de Soins à Domicile (SPASAD). Nos services accompagnent 24h /24h les personnes vulnérables et les proches aidants dans le maintien à domicile à travers des missions d'aide à domicile (entretien du domicile, préparation des repas, accompagnement à la vie sociale)  et des soins infirmiers et d'hygiène.",22 rue professeur lannelongue                                                                                                ,33300,05 56 01 91 91,null,aidomi.fr,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/796,ASSOCIATION FRANCO-JAPONAISE D'ÉCHANGES CULTURELS RIVAGES - RIVAGES,"L'association à pour but de développer les relations culturelles franco-japonaises pour un enrichissement mutuel par des actions de diffusion de la culture, du savoir faire et de l'art japonais (exposition, conférences, cours, pratiques artistiques et de bien être).",47 rue Jean Soula                                                                                                ,33000,05 47 29 56 30,null,www.association-rivages.org,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/1317,PROMOFEMMES,"Insertion sociale, professionnelle, culturelle et citoyenne des femmes d’origine étrangère et de leur famille",10 rue Carpenteyre                                                                                                ,33800,05 56 94 64 07,null,www.promofemmes.org,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/1258,LE FESTIN,"Depuis près de trente ans, la revue le festin permet à un large public de découvrir les richesses artistiques du Sud-Ouest. Elle est aujourd’hui reconnue comme la première publication culturelle et touristique de la région. Du local à l’universel, des monuments historiques à la création la plus contemporaine, la revue trimestrielle défend en effet une vision dynamique et originale de la culture.",176 rue Achard                                 Zone d'activités Achard - Bât F1                                                                                                             ,33300,05 56 69 72 46,null,null,Culture
https://assos.bordeaux.fr/association/detail/1227,LES DETRITIVORES - DTTV,,pas d'adresse,,,null,null,null
https://assos.bordeaux.fr/association/detail/711,FRÈRES DES HOMMES - FDH,La Pépinière de la solidarité internationale (créée par Frères des Hommes) est un dispositif d’accueil et d’accompagnement ouvert à tous ceux qui veulent mener un projet de solidarité internationale. Il s’adresse également à ceux qui souhaitent accompagner un ou plusieurs porteurs de projet dans leur démarche en devenant tuteur bénévole.,2 rue de Savoie                                                                                                75006 Paris,33,01 55 42 62 62,null,www.fdh.org,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/974,PHILOSPHÈRES,"Ouvrir un espace de réflexion philosophique aux enfants, adolescents,
adultes : la proposition s’adresse à tous et s’inscrit dans une démarche culturelle durable et solidaire. Ateliers à visée philosophique pour enfants, pour adultes, événements sur la place publique, projet éditorial sur la mémoire, cinéphilo, écriture & poésie... La philosophie est un « terreau » qui favorise une existence harmonieuse pour tous.",6 rue Gaspard philippe                                                                                                ,33800,06 77 60 53 90,null,www.philospheres.org,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/1199,UNION BORDEAUX MÉTROPOLE - UBM,"La présente association, sans but lucratif, a pour objet la pratique et l'organisation de toutes activités sportives, éducatives, culturelles, de loisirs, bien-être, gastronomiques. L’association est ouverte aux agents de la Mairie de Bordeaux, de la Métropole de Bordeaux (EPCI), et des communes membres de la Métropole, actifs et retraités ainsi qu’à leurs ayants droit et extérieurs (article 5).",Hôtel de Bordeaux métropole                                  Esplanade Charles de Gaulle                                                                                                              ,33045,05 57 20 70 56,MARC JOKIEL,null,Loisirs
https://assos.bordeaux.fr/association/detail/862,LES BALADES ALTERNATIVES,"L'Alternative Urbaine Bordeaux propose des balades pédestres alternatives à impact positif pour le territoire.
D'une part, elles sortent des sentiers touristiques habituels en mettant en valeur des quartiers dits ""populaires"" ;

D'autre part parce que ces balades sont animées par des ""éclaireurs urbains"" en insertion professionnelle que nous formons et rémunérons dans le cadre d'une activité tremplin vers l'emploi.",40 rue Laffiteau                                 Chez Astrolabe                                                                                                             ,33800,07 67 65 24 84,null,bordeaux.alternative-urbaine.com,Culture
https://assos.bordeaux.fr/association/detail/1503,TEST 1809,Association test,Rue Claude Bonnier                                                                                                 ,33000,05 10 10 34 64,null,null,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/598,ASSOCIATION ODYSSÉE,"Contribuer à l'engagement et à la participation de tous, pour renforcer la citoyenneté européenne et l'émergence de « citoyens du monde »
Donner des clés de lecture pour appréhender la diversité et la complexité du monde actuel et développer l'apprentissage interculturel en promouvant et en mettant en œuvre des échanges européens et internationaux
Faciliter le vivre ensemble et le travailler ensemble",5 rue Marengo                                                                                                ,33000,06 09 46 33 14,Elisabeth SILVA,www.associationodyssee.fr,Education - Enfance - Jeunesse - Vie étudiante
https://assos.bordeaux.fr/association/detail/782,LA CLÉ DES ONDES,"Ouverte à toutes et tous, la Clé des Ondes est la radio qui se mouille pour qu'il fasse beau. Elle se fait l'écho du mouvement culturel, social, associatif, environnemental. D'ici et d'ailleurs, de toutes les couleurs, de toutes les nationalités, de toutes les musiques, de tout ce qui bouge, elle ouvre ses micros aux sans-voix. Elle s'écoute sur le 90.10 en FM et sur lacdo.org.",71 cours Edouard Vaillant                                                                                                ,33300,05 56 39 87 57,Gilbert Hanna,www.lacdo.org,"Vivre ensemble, vie quotidienne"
https://assos.bordeaux.fr/association/detail/1042,OPTIMOMES LOISIRS,"Favoriser l'esprit de découverte chez les jeunes en leur proposant des programmes d'activités variées  (Culture, sport, nature et science) ; promouvoir la pratique des activités sportives, artistiques, scientifiques et de nature en proposant la création de structures accueils ( écoles élémentaires/maternelles,CE) ; promouvoir grâce à des pratiques ludiques, la découverte de l'environnement auprès des enfants.",10 rue de la Moulinatte                                                                                                ,33130,05 56 85 53 14,null,optimomesloisirs.com,Education - Enfance - Jeunesse - Vie étudiante
https://assos.bordeaux.fr/association/detail/1275,ATELIER D'ÉCO SOLIDAIRE - ADS,"La Recyclerie créative de Bordeaux est depuis 2010 un des leviers de l’innovation sociale territoriale dans la réutilisation de matières, objets et mobilier dont les usagers, les entreprises et les collectivités veulent se débarrasser.
Par le travail croisé de salariés, de bénévoles de tous âges et de stagiaires de tous horizons, elle alimente une expérimentation concrète et et prône un retour au « bon sens ».",7 rue la Motte Picquet                                                                                                ,33300,05 56 10 46 19,null,null,Cadre de vie environnement
https://assos.bordeaux.fr/association/detail/626,HÉLIOS EVENEMENTS - O S G,"Cette association a pour but de promouvoir et de développer les pratiques musicales : par la production de spectacles vivants les ""Mini concerts'' comprenant la participation de l’orchestre symphonique de Gironde et de son activité de diffusion d’artistes ; par l’édition de supports informatifs et pédagogiques ; par l’organisation d’actions de formation musicale en favorisant les pratiques amateurs",2 rue Frédéric Bastiat                                                                                                ,33100,06 11 10 03 77,null,orchestresymphoniquedegironde.fr,Culture
https://assos.bordeaux.fr/association/detail/1410,RIRE EN-JE - CLUB DE RIRE BX,"Amélioration du mieux être et des relations humaines notamment en faisant connaitre la méthode du Rire sans raison du Dr Kataria afin d'apporter de la joie de vivre, de la bonne humeur, et du bien être ; en connectant  les personnes à travers le rire ; en trouvant du bonheur à rendre les gens heureux et en apportant de l'amour inconditionnel.",36 allée Haussmann                                                                                                ,33300,06 12 29 51 96,Pascale Senon,,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/1576,ASSOCIATION FRANÇAISE DE RUGBY SUBAQUATIQUE - AFRS,Développer la pratique du rugby subaquatique en France et favoriser la participation à des compétitions nationales et internationales., Rue Kléber                                                                                                ,33800,06 24 40 80 30,Anaïs De Chaumont,null,Sport
https://assos.bordeaux.fr/association/detail/1734,LA CASSETTE,"La Cassette promeut I'art & la culture, crée des échanges sociaux & culturels, organise du spectacle vivant, des expositions, aide & conseille à la production musicale et le spectacle, conseille les lieux de diffusion à la programmation, résidence artistiques, accompagnement à l'enregistrement audio, accompagnement à la réalisation de vidéos, développement de projets artistiques...",55 rue Galin                                                                                                ,33100,06 84 31 45 04,milos ares asian teran,null,Culture
https://assos.bordeaux.fr/association/detail/555,PRATIKABLE - PTK,L'association Pratikable a pour but de valoriser et promouvoir le handicap à travers les sports de glisse et les sports à sensation.,13 Rue Charles Perrault                                                                                                ,33370,06 45 86 91 69,Wilfried Panatier,www.pratikable.com,Sport
https://assos.bordeaux.fr/association/detail/1182,CULTIVER L'ÉQUILIBRE,"Accompagner, transmettre et promouvoir auprès de tout public différentes pratiques et techniques ayant pour objectif d’améliorer la santé (état de bien-être total physique, mental et social) et de
permettre le développement personnel des personnes. 
Créer une dynamique de partage, d’échange et de mise en réseau de différents professionnels proposant ces pratiques.",147 avenue de Labarde                                                                                                ,33300,06 62 44 90 99,null,,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/949,MOUVEMENT  LE CRI,"Le Cri a pour objet de lutter contre toute forme de violences en particulier celles liées au système prostitutionnel. Elle se fixe une triple mission de prévention, d’information et de médiation.","58, rue Schoelcher                                                                                                ",33300,05 56 39 05 96,null,null,null
