"""BAMBINO BERTHELOT"" ASSOCIATION DE PARENTS D'ELEVES DE","0,00",Locaux
L'ECOLE MATERNELLE BERTHELOT A BORDEAUX,,
1001 JEUNES BORDELAIS,"0,00",Matériel pour manifestations
2AA,"0,00",Locaux
2SI2LA,"0,00",Locaux
4 CATS,"0,00",Locaux
5UN7,"1 000,00",
60 000 REBONDS,"1 800,00",
9-33,"19 000,00","Communication, locaux"
A L EAU MUSIC,"500,00",
A PART ENTIERE,"2 000,00",
A PETIT PAS,"3 000,00",
A TRAVERS CHANT,"0,00",Locaux
A2RUNNING,"0,00",Locaux
ABALONE CHASSE BORDEAUX,"0,00","Locaux, équipements sportifs"
ABEILLES BORDELAISES,"0,00",Locaux
ACADEMIE BUSHIKAI KARATE DO,"0,00",Equipements sportifs
"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE","7 600,00","Locaux, matériel pour manifestations"
BORDEAUX,,
ACADEMIE PROSPECTIVE NOUVELLES TECHNOLOGIES,"0,00",Locaux
ACADEMIE YOUNUS,"22 000,00","Locaux, équipements sportifs, matériel pour"
"",,manifestations
ACCOMPAGNEMENT ET RECHERCHE PSYCHO-SOCIO EDUCATIFS,"0,00",Locaux
POUR LES JEUNES (ARPEJE),,
ACCOMPAGNEMENT PSYCHOLOGIQUE ET MEDIATION,"5 000,00",
INTERCULTURELLE - AMI,,
ACCOMPAGNER CONDUIRE TRANSMETTRE - ACT,"300,00",Locaux
ACCORDERIE BORDEAUX SUD,"4 500,00",Locaux
ACHATS GROUPES ASSOCIATIF POUR L'ECONOMIE SOLIDAIRE DE,"0,00",Locaux
BORDEAUX - AGAPES,,
"ACIDD, ASSOCIATION COMMUNICATION ET INFORMATION POUR LE","10 000,00",Locaux
DEVELOPPEMENT DURABLE,,
ACINQBYS_ESPACE 29 A5BIS,"22 000,00",
ACTA GIRONDE - AGIR CONTRE LA TORTURE DES ANIMAUX,"0,00",Locaux
ACTIFS 33,"2 400,00",
ACTIMAGE,"6 500,00",
ACTION CONTRE LA FAIM,"0,00",Locaux
ACTION INTERNATIONALE POUR LA PAIX ET LE DEVELOPPEMENT,"0,00",Locaux
AD LUCEM THEATRE,"0,00",Locaux
ADDAH 33,"500,00",
ADORA,"5 000,00",Locaux
ADRIA,"1 500,00",
AEP SAINT PROJET,"0,00",Matériel pour manifestations
AFRICAFRANCE,"1 500,00",
AGENCE D'URBANISME BORDEAUX METROPOLE AQUITAINE,"60 000,00",
"(A'URBA)",,
AGENCE LOCALE DE L'ENERGIE ET DU CLIMAT (ALEC),"6 000,00",Locaux
AGENCE REGIONALE DE SANTE NOUVELLE AQUITAINE,"0,00",Matériel pour manifestations
AGIR POUR UN COMMERE EQUITABLE ET SOLIDAIRE EN AQUITAINE -,"500,00",
ACESA,,
AGORA DES ARTS,"5 000,00",Matériel pour manifestations
AIDE AUX AIDANTS DU PAVILLON,"2 000,00",
AIDES AQUITAINE,"5 500,00",
AIGUILLES ET CALAME,"0,00",Locaux
AIKIDO BORDEAUX BASTIDE,"2 000,00",Equipements sportifs
AIM ACTIONS INTER MEDIATION,"20 060,00",
AIR ROLLER (ATTENTION INERTIE RENOUVELABLE),"11 000,00","Locaux, équipements sportifs"
ALAM AMIS DU LIVRE ANCIEN ET MODERNE,"0,00","Locaux, matériel pour manifestations"
ALGERIENS DE L'AQUITAINE,"0,00",Locaux
"ALLIANCE DEPARTEMENT 33, JUSQU'AU BOUT ACCOMPAGNER LA","4 500,00",Locaux
VIE...,,
