compétence unique,nombre occurences,categorie
ressources humaines,41,administration
administration générale,20,administration
mutualisation,16,administration
personnel,10,administration
politiques contractuelles,8,administration
formation,5,administration
lecture publique,4,administration
contrôle de gestion,3,administration
contractualisation,3,administration
politique contractuelle,2,administration
relations avec les communes,2,administration
affaires générales,2,administration
moyens généraux,2,administration
conseil de développement,2,administration
gestion du personnel,2,administration
assurance,2,administration
ressources internes,2,administration
affaires générale et du personnel,1,administration
service aux communes,1,administration
ressoures humaines,1,administration
participation citoyenne,1,administration
politique d'intérêt communautaire,1,administration
coopération intercommunale,1,administration
projets structurants,1,administration
relations avec les collectivités territoriales,1,administration
schéma de mutualisation,1,administration
projet communautaire,1,administration
identité communautaire,1,administration
ZAD,1,administration
coopération internationale,1,administration
administration communautaire,1,administration
gestion administrative,1,administration
qualité de l'action publique,1,administration
mutualisation des services et des moyens,1,administration
coopération,1,administration
politiques publiques contractuelles,1,administration
management,1,administration
organisation,1,administration
délégation générale,1,administration
mise en oeuvre de la métropolisation,1,administration
relations avec l'Etat,1,administration
relations avec la région et le département,1,administration
intercommunalité,1,administration
Relations supra,1,administration
comunales,1,administration
CLECT (Commission Locale d'Evaluation des Charges Transférées),1,administration
Mutualisation et finances,1,administration
Administration générale et juridique,1,administration
mutualisation des moyens,1,administration
gestion prévisionnelle des emplois,1,administration
commission locale d'évaluation des charges transférées,1,administration
citoyenneté,1,administration
schéma de mutialisation des services,1,administration
évaluation des charges transférées,1,administration
évaluation de l'action publique,1,administration
relations avec le conseil départemental et le conseil régional,1,administration
stratégie,1,administration
administration,1,administration
agglomération citoyenne,1,administration
coordination lecture publique,1,administration
fonctionnement des établissements,1,administration
juridique,1,administration
politique de gestion des ressources humaines,1,administration
recrutement,1,administration
contentieux,1,administration
gouvernance,1,administration
relation aux territoires,1,administration
relations internationales,1,administration
affaires juridiques,1,administration
instances paritaires,1,administration
archives,1,administration
administration électronique,1,administration
juridique et assemblées,1,administration
commission personnel,1,administration
contractualisations,1,administration
démarche qualité,1,administration
agriculture,21,agriculture
ruralité,7,agriculture
développement rural,2,agriculture
action pour une territorialisation de l'alimentation,1,agriculture
centre d'abattage,1,agriculture
pêche,1,agriculture
aquaculture,1,agriculture
politique agricole,1,agriculture
rural,1,agriculture
activités agricoles,1,agriculture
abattoir,1,agriculture
Agriculture,1,agriculture
agricuture,1,agriculture
dynamisation des communes rurales,1,agriculture
espaces agricoles et boisés,1,agriculture
fillière bois,1,agriculture
viticulture,1,agriculture
agro,1,agriculture
pastoralisme,1,agriculture
abbatoir,1,agriculture
productions maraicheres et horticoles,1,agriculture
assainissement,36,assainissement
eau,21,assainissement
eaux pluviales,4,assainissement
eau potable,2,assainissement
petit et grand cycle de l'eau,1,assainissement
asainissement,1,assainissement
grand cycle de l'eau,1,assainissement
spanc,1,assainissement
Gestion des eaux,1,assainissement
assainissment,1,assainissement
eaux usées,1,assainissement
alimentation en eaux potables,1,assainissement
patrimoine,32,bâtiments
bâtiments,25,bâtiments
infrastructures,8,bâtiments
patrimoine bâti,4,bâtiments
stratégie foncière,4,bâtiments
équipements,4,bâtiments
bâtiment,3,bâtiments
grands projets,3,bâtiments
politique foncière,2,bâtiments
