ID,NAME,Insee,ISO 3166-2
"FR10","Île-de-France","11","FR-J"
"FR21","Champagne-Ardenne","21","FR-G"
"FR22","Picardie","22","FR-S"
"FR23","Haute-Normandie","23","FR-Q"
"FR24","Centre-Val de Loire","24","FR-F"
"FR25","Basse-Normandie","25","FR-P"
"FR26","Bourgogne","26","FR-D"
"FR30","Nord-Pas-de-Calais","31","FR-O"
"FR41","Lorraine","41","FR-M"
"FR42","Alsace","42","FR-A"
"FR43","Franche-Comté","43","FR-I"
"FR51","Pays de la Loire","52","FR-R"
"FR52","Bretagne","53","FR-E"
"FR53","Poitou-Charentes","54","FR-T"
"FR61","Aquitaine","72","FR-B"
"FR62","Midi-Pyrénées","73","FR-N"
"FR63","Limousin","74","FR-L"
"FR71","Rhône-Alpes","82","FR-V"
"FR72","Auvergne","83","FR-C"
"FR81","Languedoc-Roussillon","91","FR-K"
"FR82","Provence-Alpes-Côte d’Azur","93","FR-U"
"FR83","Corse","94","FR-H"
"FRA1","Guadeloupe","01","—"
"FRA2","Martinique","02","—"
"FRA3","Guyane (française)","03","—"
"FRA4","La Réunion","04","—"
"FRA5","Mayotte","06","—"
