ID,NAME,Insee,ISO 3166-2
"FR10","Île-de-France","11","FR-J"
"FR24","Centre-Val de Loire","24","FR-F"
"FR26","Bourgogne-Franche-Comté","27","FR-D"
"FR25","Normandie","28","FR-P"
"FR22","Hauts-de-France","32","FR-S"
"FR21","Grand Est","44","FR-G"
"FR51","Pays de la Loire","52","FR-R"
"FR52","Bretagne","53","FR-E"
"FR61","Nouvelle-Aquitaine","75","FR-B"
"FR62","Occitanie","76","FR-N"
"FR71","Auvergne-Rhône-Alpes","84","FR-V"
"FR82","Provence-Alpes-Côte d’Azur","93","FR-U"
"FR83","Corse","94","FR-H"
"FRA1","Guadeloupe","01","—"
"FRA2","Martinique","02","—"
"FRA3","Guyane (française)","03","—"
"FRA4","La Réunion","04","—"
"FRA5","Mayotte","06","—"
