datepublication;nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBénéficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPériodeVersement;idRAE;notificationUE;pourcentageSubvention;date_deb;date_fin;objet_reuse;montant_reuse
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2018-10-09;2018/040;GIHP INSERT PERS HAND;31231100400039.0;Zéro déchets;5000;aide en numéraire;unique;2018-10-09/2019-04-09;sans objet;non;1.00;2018-10-09;;Autre objet;Inférieur à 30 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2018-11-09;2018/573;ADIL 33;30537823400036.0;Fonctionnement;97740;aide en numéraire;échelonné;2018-11-09/2019-05-09;sans objet;non;1.00;2018-11-09;;Fonctionnement;Entre 30 000€ et 100 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2019-01-24;2018/578;WIMOOV GIRONDE;42213614300068.0;plateforme mobilité;55000;aide en numéraire;échelonné;2019-01-24/2019-07-24;sans objet;non;1.00;2019-01-24;;Autre objet;Entre 30 000€ et 100 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2019-01-31;2018/677;AQUITEC;39061052500029.0;Fonctionnement;26000;aide en numéraire;échelonné;2019-01-31/2019-07-31;sans objet;non;1.00;2019-01-31;;Fonctionnement;Inférieur à 30 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2018-12-18;2018/588;LA RONDE DES QUARTIERS DE BORDEAUX;52539664400011.0;Action CO²LIM;14500;aide en numéraire;unique;2018-12-18/2019-06-18;sans objet;non;1.00;2018-12-18;;Autre objet;Inférieur à 30 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2018-09-10;2018/359;CAP SCIENCES;39988425300036.0;Investissement;120000;aide en numéraire;échelonné;2018-09-10/2019-03-10;sans objet;non;1.00;2018-09-10;;Autre objet;Entre 100 000€ et 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-14;2018/804;UNION BORDEAUX METROPOLE (UBM);41892140900011.0;Fonctionnement;165000;aide en numéraire;échelonné;2019-02-14/2019-08-14;sans objet;non;1.00;2019-02-14;;Fonctionnement;Entre 100 000€ et 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-14;2018/805;COS Bordeaux Métropole;48301340500012.0;Fonctionnement;1680000;aide en numéraire;échelonné;2019-02-14/2019-08-14;sans objet;non;1.00;2019-02-14;;Fonctionnement;Supérieur à 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-19;2019/53;COMPAGNIE LES MARCHES DE L'ÉTÉ;32848008200069.0;FESTIVAL 30/30;15000;aide en numéraire;échelonné;2019-02-19_2019-08-19;sans objet;non;1.00;2019-02-19;2019-08-19;Autre objet;Inférieur à 30 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-20;2019/53;CREAC DE BEGLES;37809063300017.0;saison cirque;47500;aide en numéraire;échelonné;2019-02-20/2019-08-20;sans objet;non;1.00;2019-02-20;;Autre objet;Entre 30 000€ et 100 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-03-08;2019/69;LE LAB;84217399900017.0;investissement travaux Lormont;7000;aide en numéraire;échelonné;2019-03-08/2019-09-08;sans objet;non;1.00;2019-03-08;;Autre objet;Inférieur à 30 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-03-11;2019/53;ESPRIT DE CORPS;42008956700036.0;festival POUCE;20000;aide en numéraire;échelonné;2019-03-11/2019-09-11;sans objet;non;1.00;2019-03-11;;Autre objet;Inférieur à 30 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-22;2019/53;CHAHUTS;40265285300069.0;LES ARTS DE LA PAROLE;35000;aide en numéraire;échelonné;2019-02-22/2019-08-22;sans objet;non;1.00;2019-02-22;;Autre objet;Entre 30 000€ et 100 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2018-12-07;2018/664;MUSIQUES DE NUIT DIFFUSION;34169319000033.0;journées afro contemporaines;33250;aide en numéraire;échelonné;2018-12-07/2019-06-07;sans objet;non;1.00;2018-12-07;;Autre objet;Entre 30 000€ et 100 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-03-06;2019/45;AURBA;78181448800040.0;Fonctionnement;4372000;aide en numéraire;échelonné;2019-03-06/2019-09-06;sans objet;non;1.00;2019-03-06;;Fonctionnement;Supérieur à 500 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-21;2019/263;LETTRES DU MONDE;45227479800035.0;IN SITU ÉTÉ METROPOLITAIN;6000;aide en numéraire;échelonné;2019-05-21/2019-11-21;sans objet;non;1.00;2019-05-21;;Autre objet;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-15;2019/181;BORDEAUX TECHNOWEST;37781852100025.0;LA TECHNOPOLE;440000;aide en numéraire;échelonné;2019-05-15/2019-11-15;sans objet;non;1.00;2019-05-15;;Autre objet;Entre 100 000€ et 500 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-27;2019/263;BORDEAUX ROCK;48029371100028.0;Eté métropolitain;8000;aide en numéraire;échelonné;2019-05-27/2019-11-27;sans objet;non;1.00;2019-05-27;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-27;2019/263;CHAHUTS;40265285300019.0;Eté métropolitain;25000;aide en numéraire;échelonné;2019-05-27/2019-11-27;sans objet;non;1.00;2019-05-27;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-21;2019/263;COMPAGNIE TANDAIM;41827063300021.0;Eté métropolitain;23500;aide en numéraire;échelonné;2019-05-21/2019-11-21;sans objet;non;1.00;2019-05-21;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-27;2019/263;ADMAA;48956307200029.0;Eté métropolitain;20000;aide en numéraire;échelonné;2019-05-27/2019-11-27;sans objet;non;1.00;2019-05-27;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-23;2019/183;CLUSTER BORDEAUX SUPERYACHT;82071933400014.0;Fonctionnement;25000;aide en numéraire;échelonné;2019-05-23/2019-11-23;sans objet;non;1.00;2019-05-23;;Fonctionnement;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-28;2019/263;LE BLEU DU CIEL;48466802500030.0;Eté métropolitain;9000;aide en numéraire;échelonné;2019-05-28/2019-11-28;sans objet;non;1.00;2019-05-28;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-29;2019/263;BORDEAUX ART CONTEMPORAIN;82831200900016.0;Eté métropolitain;8000;aide en numéraire;échelonné;2019-05-29/2019-11-29;sans objet;non;1.00;2019-05-29;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-06-03;2019/263;LA MECANIQUE GENERALE;82469850000017.0;Eté métropolitain;12500;aide en numéraire;échelonné;2019-06-03/2019-12-03;sans objet;non;1.00;2019-06-03;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-29;2019/265;AGEC ET CO;49848483100033.0;projet artistique;14250;aide en numéraire;échelonné;2019-05-29/2019-11-29;sans objet;non;1.00;2019-05-29;;Autre objet;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-01-23;2018/651;UNIS CITE;39819156900142.0;ambassadeurs du vélo;49000;aide en numéraire;échelonné;2019-01-23/2019-07-23;sans objet;non;1.00;2019-01-23;;Autre objet;Entre 30 000€ et 100 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-06-05;2019/263;MUSIQUES DE NUIT DIFFUSION;34169319000033.0;Eté métropolitain;40000;aide en numéraire;échelonné;2019-06-05/2019-12-05;sans objet;non;1.00;2019-06-05;;Eté métropolitain;Entre 30 000€ et 100 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-06-12;2019/263;L'ART DANS TOUS SES ETATS;82155741000015.0;Eté métropolitain;6600;aide en numéraire;échelonné;2019-06-12/2019-12-12;sans objet;non;1.00;2019-06-12;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-06-06;2019/205;CSDL;41900910500018.0;ESS programme d'actions;38000;aide en numéraire;échelonné;2019-06-06/2019-12-06;sans objet;non;1.00;2019-06-06;;Autre objet;Entre 30 000€ et 100 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-06-12;2019/185;FRENTECH BORDEAUX;81831326400025.0;Fonctionnement;204000;aide en numéraire;échelonné;2019-06-12/2019-12-12;sans objet;non;1.00;2019-06-12;;Fonctionnement;Entre 100 000€ et 500 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-06-13;2019/182;BORDEAUX UNITEC;37796404400038.0;manifestation Innovaday;15000;aide en numéraire;échelonné;2019-06-13/2019-12-13;sans objet;non;1.00;2019-06-13;;Autre objet;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-06-19;2019/278;ALPHA;47941474000049.0;Fonctionnement;57000;aide en numéraire;échelonné;2019-06-19/2019-12-19;sans objet;non;1.00;2019-06-19;;Fonctionnement;Entre 30 000€ et 100 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-06-20;2019/169;CSBN;78184921100029.0;Fonctionnement;3500;aide en numéraire;échelonné;2019-06-20/2019-12-20;sans objet;non;1.00;2019-06-20;;Fonctionnement;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-06-27;2019/169;FACE;39856806300059.0;Fonctionnement;14250;aide en numéraire;échelonné;2019-06-27/2019-12-27;sans objet;non;1.00;2019-06-27;;Fonctionnement;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-06-19;2019/169;LE RITUEL;82978181400019.0;Fonctionnement;4500;aide en numéraire;échelonné;2019-06-19/2019-12-19;sans objet;non;1.00;2019-06-19;;Fonctionnement;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-06-12;2019/257;ALEC;49500944100033.0;Fonctionnement;137000;aide en numéraire;échelonné;2019-06-12/2019-12-12;sans objet;non;1.00;2019-06-12;;Fonctionnement;Entre 100 000€ et 500 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-06-04;2019/169_;CREPAQ;40996896300010.0;Fonctionnement;4350;aide en numéraire;échelonné;2019-06-04/2019-12-04;sans objet;non;1.00;2019-06-04;;Fonctionnement;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-08-02;2019/386;UNIS CITE;39819156900142.0;Fonctionnement;8000;aide en numéraire;unique;2019-08-02/2020-02-02;sans objet;non;1.00;2019-08-02;;Fonctionnement;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-07-31;2019/401;MAISON EMPLOI BX MDE;49058526200069.0;Fonctionnement;25000;aide en numéraire;échelonné;2019-07-31/2020-01-31;sans objet;non;1.00;2019-07-31;;Fonctionnement;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-07-25;2019/279;COM UNE PARENTHESE;84515945800023.0;actions spécifiques;29000;aide en numéraire;échelonné;2019-07-25/2020-01-25;sans objet;non;1.00;2019-07-25;;Autre objet;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-07-23;2019/386;CIDFF;33348540700017.0;actions spécifiques;8500;aide en numéraire;unique;2019-07-23/2020-01-23;sans objet;non;1.00;2019-07-23;;Autre objet;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-07-31;2019/386;ADIE;35221687300015.0;Fonctionnement;5000;aide en numéraire;unique;2019-07-31/2020-01-31;sans objet;non;1.00;2019-07-31;;Fonctionnement;Inférieur à 30 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-08-22;2019/418;LES DETRITIVORES;81292453800018.0;action déchets;50000;aide en numéraire;échelonné;2019-08-22/2020-02-22;sans objet;non;1.00;2019-08-22;;Autre objet;Entre 30 000€ et 100 000€
2019-09-16;BORDEAUX METROPOLE;24330031600011.0;2019-08-26;2019/390;SEMER LE DOUTE;53389682500023.0;Festival FIFIB;26000;aide en numéraire;échelonné;2019-08-26/2020-02-26;sans objet;non;1.00;2019-08-26;;Autre objet;Inférieur à 30 000€
2019-11-15;BORDEAUX METROPOLE;24330031600011.0;2019-10-17;2019/582;URHAJ NOUVELLE AQUITAINE;82791162900018.0;Fonctionnement;69000;aide en numéraire;échelonné;2019-10-17/2020-04-17;sans objet;non;1.00;2019-10-17;;Fonctionnement;Entre 30 000€ et 100 000€
2019-11-15;BORDEAUX METROPOLE;24330031600011.0;2019-10-31;2019/489;AEROSPACE VALLEY;48428452600072.0;Fonctionnement;90000;aide en numéraire;échelonné;2019-10-31/2020-04-31;sans objet;non;1.00;2019-10-31;;Fonctionnement;Entre 30 000€ et 100 000€
2019-11-15;BORDEAUX METROPOLE;24330031600011.0;2019-11-12;2019/594;FESTIVAL INTERNATIONAL;37914022100019.0;Festival du film d'histoire;50000;aide en numéraire;échelonné;2019-11-12/2020-05-12;sans objet;non;1.00;2019-11-12;;Autre objet;Entre 30 000€ et 100 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2018-03-12;2017/799;BMSL;39484466600013.0;Fonctionnement;88000;aide en numéraire;échelonné;2018-03-12/2018-09-12;sans objet;non;1.00;2018-03-12;;Fonctionnement;Entre 30 000€ et 100 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2018-12-10;2018/597;NANTES SUMMERCAMP;81195928700012.0;SOFILM;225000;aide en numéraire;échelonné;2018-12-10/2019-06-10;sans objet;non;1.00;2018-12-10;;Autre objet;Entre 100 000€ et 500 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2018-12-18;2018/601;LE LIVRE VERT;79493089100013.0;investissement;15000;aide en numéraire;échelonné;2018-12-18/2019-06-18;sans objet;non;1.00;2018-12-18;;Autre objet;Inférieur à 30 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2019-01-17;2018/678;CARREFOURS POUR L'EMPLOI;43294548300035.0;Fonctionnement;18000;aide en numéraire;échelonné;2019-01-17/2019-07-17;sans objet;non;1.00;2019-01-17;;Fonctionnement;Inférieur à 30 000€
2019-02-06;BORDEAUX METROPOLE;24330031600011.0;2018-09-24;2015/488;SIMOREP ET CIE;32852574600017.0;investissement projet butterfly;400000;aide en numéraire;échelonné;2018-09-24/2019-03-24;sans objet;non;1.00;2018-09-24;;Autre objet;Entre 100 000€ et 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-14;2018/666;CAP SCIENCES;39988425300036.0;Fête de la science;5000;aide en numéraire;échelonné;2019-02-14/2019-08-14;sans objet;non;1.00;2019-02-14;;Autre objet;Inférieur à 30 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-20;2019/53;POLA;44433758800040.0;Fonctionnement;114000;aide en numéraire;échelonné;2019-02-20/2019-08-20;sans objet;non;1.00;2019-02-20;;Fonctionnement;Entre 100 000€ et 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-03-08;2019/65;OFFICE TOURISME & CONGRES BORDEAUX;78180455400017.0;Fonctionnement;3000000;aide en numéraire;échelonné;2019-03-08/2019-09-08;sans objet;non;1.00;2019-03-08;;Fonctionnement;Supérieur à 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-03-07;2019/64;MAISON EMPLOI INSERT ECO ENTREP.;49058526200069.0;Fonctionnement;230000;aide en numéraire;échelonné;2019-03-07/2019-09-07;sans objet;non;1.00;2019-03-07;;Fonctionnement;Entre 100 000€ et 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-03-08;2019/92;ALEC;49500944100033.0;déploiement PCAET;82800;aide en numéraire;échelonné;2019-03-08/2019-09-08;sans objet;non;1.00;2019-03-08;;Autre objet;Entre 30 000€ et 100 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-18;2019/66;AGENCE DEVELOPPEMENT TOURISTIQUE;78184375000048.0;Fonctionnement;180000;aide en numéraire;échelonné;2019-02-18/2019-08-18;sans objet;non;1.00;2019-02-18;;Fonctionnement;Entre 100 000€ et 500 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-15;2019/77;MÉMOIRE DE BORDEAUX;34221545600043.0;Fonctionnement;91379;aide en numéraire;échelonné;2019-02-15/2019-08-15;sans objet;non;1.00;2019-02-15;;Fonctionnement;Entre 30 000€ et 100 000€
2019-04-02;BORDEAUX METROPOLE;24330031600011.0;2019-02-18;2019/60;ASSO.EUROPEENNE DU FILM ANIMATION;50907979400012.0;CARTOON MOVIE;150000;aide en numéraire;échelonné;2019-02-18/2019-08-18;sans objet;non;1.00;2019-02-18;;Autre objet;Entre 100 000€ et 500 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-04-02;2019/68;LA PLANCHE;84474944000013.0;Investissement tiers lieu;27500;aide en numéraire;échelonné;2019-04-02/2019-10-02;sans objet;non;1.00;2019-04-02;;Autre objet;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-04-01;2019/172;ADEM;39811228400011.0;DECASTAR;58000;aide en numéraire;échelonné;2019-04-01/2019-10-01;sans objet;non;1.00;2019-04-01;;Autre objet;Entre 30 000€ et 100 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-04-24;2018/578;SAMPE France;48428659600032.0;Action journées techniques;5000;aide en numéraire;échelonné;2019-04-24/2019-10-24;sans objet;non;1.00;2019-04-24;;Autre objet;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-15;2019/247;VELO CITE;43288382500031.0;FETE DU VELO;5000;aide en numéraire;unique;2019-05-15/2019-11-15;sans objet;non;1.00;2019-05-15;;Autre objet;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-21;2019/263;L'ORANGEADE;80016249700039.0;Eté métropolitain;15000;aide en numéraire;échelonné;2019-05-21/2019-11-21;sans objet;non;1.00;2019-05-21;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-21;2019/263;YES WE CAMP;78942066800012.0;Eté métropolitain;10000;aide en numéraire;échelonné;2019-05-21/2019-11-21;sans objet;non;1.00;2019-05-21;;Eté métropolitain;Inférieur à 30 000€
2019-06-20;BORDEAUX METROPOLE;24330031600011.0;2019-05-23;2019/263;BORDEAUX OPEN AIR;82135493300011.0;Eté métropolitain;10000;aide en numéraire;échelonné;2019-05-23/2019-11-23;sans objet;non;1.00;2019-05-23;;Eté métropolitain;Inférieur à 30 000€
