Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3300;2021;L3300;;;;;;;;;;8,8;10,2;11,8;14,0;17,2;11,4;420;500;607;780;994;670;59;24315;134946;Estimation directe
B3300;2021;L3300;;;;;;;;;Maison 1-3P;7,9;9,4;11,3;13,2;15,3;10,9;500;600;717;828;940;724;66;612;10032;Estimation directe
B3300;2021;L3300;;;;;;;;;Ensemble 4P+;7,4;8,8;10,0;11,4;12,8;10,0;680;802;941;1111;1350;989;99;2710;28363;Estimation directe
B3300;2021;L3300;;;;;;;;;Maison 4P+;7,1;8,8;10,1;11,5;12,9;10,0;740;840;988;1183;1381;1026;103;920;16805;Estimation directe
B3300;2021;L3300;;;;;;;;;Appart 1P;12,0;13,7;16,2;19,5;22,5;15,9;354;396;432;480;526;439;28;3402;25563;Estimation directe
B3300;2021;L3300;;;;;;;;;Appart 2P;10,1;11,3;12,4;14,0;16,2;12,5;467;505;548;600;661;557;45;10331;42580;Estimation directe
B3300;2021;L3300;;;;;;;;;Appart 3P;8,9;10,0;10,8;11,8;13,2;10,8;574;640;700;765;868;712;66;7260;28410;Estimation directe
B3300;2021;L3300;;;;;;;;;Appart 4P+;7,7;8,8;9,9;11,2;12,7;10,1;640;756;879;1040;1298;934;93;1790;11558;Estimation directe
B3300;2021;L3300;;;;;;;;;Ensemble 1P;12,0;13,6;16,1;19,5;22,5;15,8;355;397;433;480;532;442;28;3429;25985;Estimation directe
B3300;2021;L3300;;;;;;;;;Ensemble 2P;10,0;11,3;12,4;14,1;16,2;12,5;467;505;550;600;680;561;45;10471;45190;Estimation directe
B3300;2021;L3300;;;;;;;;;Ensemble 3P;8,5;9,9;10,8;11,9;13,3;10,7;570;642;705;790;892;722;67;7705;35408;Estimation directe
B3300;2021;L3300;;;;;;;;Maison 1-3P;;7,9;9,4;11,3;13,2;15,3;10,9;500;600;717;828;940;724;66;612;10032;Estimation directe
B3300;2021;L3300;;;;;;;;Ensemble 4P+;;7,4;8,8;10,0;11,4;12,8;10,0;680;802;941;1111;1350;989;99;2710;28363;Estimation directe
B3300;2021;L3300;;;;;;;;Maison 4P+;;7,1;8,8;10,1;11,5;12,9;10,0;740;840;988;1183;1381;1026;103;920;16805;Estimation directe
B3300;2021;L3300;;;;;;;;Appart 1P;;12,0;13,7;16,2;19,5;22,5;15,9;354;396;432;480;526;439;28;3402;25563;Estimation directe
B3300;2021;L3300;;;;;;;;Appart 2P;;10,1;11,3;12,4;14,0;16,2;12,5;467;505;548;600;661;557;45;10331;42580;Estimation directe
B3300;2021;L3300;;;;;;;;Appart 3P;;8,9;10,0;10,8;11,8;13,2;10,8;574;640;700;765;868;712;66;7260;28410;Estimation directe
B3300;2021;L3300;;;;;;;;Appart 4P+;;7,7;8,8;9,9;11,2;12,7;10,1;640;756;879;1040;1298;934;93;1790;11558;Estimation directe
B3300;2021;L3300;;;;;;;;Ensemble 1P;;12,0;13,6;16,1;19,5;22,5;15,8;355;397;433;480;532;442;28;3429;25985;Estimation directe
B3300;2021;L3300;;;;;;;;Ensemble 2P;;10,0;11,3;12,4;14,1;16,2;12,5;467;505;550;600;680;561;45;10471;45190;Estimation directe
B3300;2021;L3300;;;;;;;;Ensemble 3P;;8,5;9,9;10,8;11,9;13,3;10,7;570;642;705;790;892;722;67;7705;35408;Estimation directe
B3300;2021;L3300;;;;;;;1. Moins de 1 an;;;9,7;11,0;12,6;15,0;18,6;12,3;430;500;608;777;1020;678;55;6365;;Estimation directe
B3300;2021;L3300;;;;;;;1. Moins de 1 an;;Ensemble 4P+;8,5;9,5;10,9;12,1;13,7;10,9;739;849;1007;1260;1497;1074;99;585;;Estimation directe
B3300;2021;L3300;;;;;;;1. Moins de 1 an;;Ensemble 1P;12,9;14,4;16,9;20,4;23,4;16,9;370;407;445;498;546;455;27;1056;;Estimation directe
