Groupe ou société de presse;Aides directes (1) (en €);Dont aides au pluralisme  (en €);Dont aide au portage - Titres  (en €);Dont aide au portage - Réseaux  (en €);Dont FSDP  (en €);Dont FSEIP (programmes d'incubation);Aide filière (aide à la distribution) (2) (en €);Aide aux tiers (modernisation sociale) (3) (en €);Total des aides (1) + (2) + (3) (en €);Année
BAYARD PRESSE;4541564;3338597;1202967;;;;223200;;4764764;2016
LA MONTAGNE;1785383;129391;1655992;;;;;100181;1885564;2016
PLAY BAC PRESSE;104582;104582;;;;;;;104582;2016
ROSSEL FRANCE INVESTISSEMENT;1978865;217170;1634444;5753;121498;;;115039;2093904;2016
SNC L'EQUIPE;1134433;;1134433;;;;;113935;1248368;2016
SOCIETE EDITRICE DU MONDE;2707411;921551;1017378;;768482;;3029400;359440;6096251;2016
GROUPE LA DEPECHE DU MIDI;3333740;254639;2079126;326052;673923;;;370187;3703927;2017
LAGARDERE ACTIVE;620169;;608918;;11251;;959400;;1579569;2017
LE TELEGRAMME;1359444;5193;596570;;757681;;;;1359444;2017
SFA PAR (L'OBS);318225;;298662;;19563;;;;318225;2017
SOCIETE EDITRICE DU MONDE;2885235;865754;915640;;1103841;;3022200;156026;6063461;2017
UFIPAR (LES ECHOS-LE PARISIEN);4822328;;1146180;2220431;1455717;;8771400;125046;13718774;2017
GHOSN CAPITAL (VSD);284801;;;;;;;;284801;2018
GROUPE EBRA;7308519;;;;;;;196871;7505390;2018
GROUPE FIGARO;1563393;;;;;;5057206;66332;6686931;2018
GROUPE SUD OUEST;2322868;;;;;;;;2322868;2018
NICE-MATIN;666406;;;;;;;;666406;2018
NOUVELLE REPUBLIQUE DU CENTRE OUEST;658112;;;;;;;;658112;2018
ROSSEL FRANCE INVESTISSEMENT;2157507;;;;;;;7398;2164905;2018
SOCIETE NOUVELLE D'INFORMATION ET DE COMMUNICATION;156882;;;;;;;;156882;2018
GHOSN CAPITAL (VSD);290775;;;;;;;;290775;2019
GROUPE FIGARO;1376301;;;;;;5039830;44033;6460164;2019
LAGARDERE MEDIA NEWS;453006;;;;;;1684107;;2137113;2019
SFR PRESSE;4181332;;;;;;1724966;;5906298;2019
SOGEMEDIA;220443;;;;;;;;220443;2019
GROUPE SUD OUEST;2192637;300755;1868789;23093;;;;18181;2210818;2016
JOURNAL DE LA HAUTE MARNE SA;1177317;146571;938635;;92111;;;;1177317;2016
MARIANNE SA;1454647;300060;;;1154587;;;;1454647;2016
SOGEMEDIA;161746;124081;37665;;;;;;161746;2016
UFIPAR (LES ECHOS - LE PARISIEN);3551182;;1247747;2303435;;;8393400;366696;12311278;2016
BAYARD PRESSE;4895245;3352584;1349442;;193219;;232200;;5127445;2017
GROUPE FRANCE AGRICOLE;268994;;;;268994;;;;268994;2017
JOURNAL DE LA HAUTE MARNE SA;1072400;158675;913725;;;;;;1072400;2017
MARIANNE SA;470861;281604;;;189257;;;;470861;2017
NICE-MATIN;1120535;;343800;131823;644912;;;50335;1170870;2017
SFR PRESSE;4930031;2964437;1870496;;95098;;1175400;;6105431;2017
SIFIJA (JEUNE AFRIQUE);415204;;;;415204;;;;415204;2017
BEY MEDIAS PRESSE ET INTERNET;1961976;;;;;;94920;;2056896;2019
GROUPE BABYLONE;117903;;;;;;;;117903;2019
GROUPE LA DEPECHE DU MIDI;2136368;;;;;;;45627;2181995;2019
GROUPE REUSSIR;356594;;;;;;;;356594;2019
NICE-MATIN;362236;;;;;;;;362236;2019
SOCIETE D'EXPLOITATION DE L'HEBDOMADAIRE LE POINT;266332;;;;;;;;266332;2018
SOCIETE EDITRICE DU MONDE;1645606;;;;;;4635540;27597;6308743;2018
SOGEMEDIA;282251;;;;;;;;282251;2018
UFIPAR (LES ECHOS-LE PARISIEN);3304756;;;;;;12903471;64126;16272353;2018
GROUPE FIGARO;2712140;;1076588;583166;1052386;;3511800;137508;6361448;2016
LE TELEGRAMME;1195637;5736;662856;;527045;;;;1195637;2016
SFA PAR (L'OBS);331847;;331847;;;;;;331847;2016
SIPA (GROUPE OUEST FRANCE);9208330;748776;6028679;;2430875;;;30284;9238614;2016
GROUPE FIGARO;2761183;;968929;565211;1227043;;3452400;51149;6264732;2017
GROUPE REVUE FIDUCIAIRE;393753;;;;393753;;;;393753;2017
GROUPE SUD OUEST;2585869;322871;1987680;53598;60000;161720;;;2585869;2017
LA MONTAGNE;1881667;86278;1572456;;;222933;;75551;1957218;2017
ROSSEL FRANCE INVESTISSEMENT;1891803;205507;1645064;41232;;;;73075;1964878;2017
SNEM (L'ECHO);747226;145138;602088;;;;;;747226;2017
SOCIETE D'EXPLOITATION DE L'HEBDOMADAIRE LE POINT;292951;;292951;;;;;;292951;2017
CZECH MEDIA INVEST France (Marianne);290775;;;;;;;;290775;2019
GROUPE DE PRESSE INDIGO PUBLICATIONS;82096;;;;;;;;82096;2019
GROUPE EBRA;5119618;;;;;;;65518;5185136;2019
GROUPE REVUE FIDUCIAIRE;88355;;;;;;;;88355;2019
GROUPE SOPREDA 2;97341;;;;;;;;97341;2019
LE TELEGRAMME DE BREST;879148;;;;;;;;879148;2019
NEWS PARTICIPATIONS (EXPRESS);82078;;;;;;;;82078;2019
NOUVELLE REPUBLIQUE DU CENTRE OUEST;813688;;;;;;;;813688;2019
PLAY BAC PRESSE;123730;;;;;;;;123730;2019
SOCIETE NOUVELLE DU JOURNAL L'HUMANITE;3305587;;;;;;;;3305587;2019
UFIPAR (LES ECHOS-LE PARISIEN);2655287;;;;;;13476356;25487;16157130;2019
BEY MEDIAS PRESSE ET INTERNET;1885405;;;;;;104994;;1990399;2018
EDIFA SOCIETE D'EDITIONS POUR LA FAMILLE;284802;;;;;;;;284802;2018
GROUPE LA PROVENCE;794670;;;;;;;;794670;2018
LE TELEGRAMME DE BREST;505793;;;;;;;;505793;2018
PLAY BAC PRESSE;127128;;;;;;;;127128;2018
SFR PRESSE;4578220;;;;;;1873784;;6452004;2018
SIPA-OUEST-France;5957341;;;;;;;;5957341;2018
BANQUE FEDERATIVE DU CREDIT MUTUEL;4006398;35259;3971139;;;;;704953;4711351;2016
EDIFA SOCIETE D'EDITIONS POUR LA FAMILLE;353460;300060;;;53400;;;;353460;2016
LA PROVENCE;510053;;439752;70301;;;;22454;532507;2016
LAGARDERE ACTIVE;934515;;479886;;454629;;957600;;1892115;2016
SNEM (L'ECHO);707218;132494;574724;;;;;;707218;2016
SOCIETE D'EXPLOITATION DE L'HEBDOMADAIRE LE POINT;855302;;266319;;588983;;;;855302;2016
SOCIETE NORMANDE D'INFORMATION ET DE COMMUNICATION;710554;149363;561191;;;;;;710554;2016
BANQUE FEDERATIVE DU CREDIT MUTUEL;6548708;;4998950;;1549758;;;;6548708;2017
BEY MEDIA PRESSE ET INTERNET;2305216;1213644;1091572;;;;68400;;2373616;2017
LES EDITIONS DES FEDERES (LA MARSEILLAISE);574962;57810;517152;;;;;;574962;2017
PLAY BAC PRESSE;243513;91481;;;152032;;;;243513;2017
SIPA (GROUPE OUEST FRANCE);8887674;740967;5754564;13712;1996672;381759;;7609;8895283;2017
SNC L'EQUIPE;1212716;;1020990;;191726;;;71084;1283800;2017
SOCIETE NOUVELLE D'INFORMATION ET DE COMMUNICATION;647412;93137;554275;;;;;;647412;2017
SOCIETE NOUVELLE DU JOURNAL L'HUMANITE;3910850;3091406;255879;;563565;;280800;;4191650;2017
BAYARD PRESSE;4511501;;;;;;341120;;4852621;2018
CZECH MEDIA INVEST (MARIANNE);284802;;;;;;;;284802;2018
GROUPE CENTRE FRANCE LA MONTAGNE;1612939;;;;;;;15268;1628207;2018
GROUPE LA DEPECHE DU MIDI;2547558;;;;;;;109498;2657056;2018
GROUPE REVUE FIDUCIAIRE;167105;;;;;;;;167105;2018
SOCIETE NOUVELLE DU JOURNAL L'HUMANITE;3310904;;;;;;431427;;3742331;2018
EDIFA SOCIETE D'EDITIONS POUR LA FAMILLE;329647;;;;;;;;329647;2019
