source_file,source_id,chunk_file,chunk_num,total_chunks,words,strategy,context_status
07-ddj-handbook-1.md,7,07-ddj-handbook-1_chunk1.md,1,2,39949,word_boundary,context_needed
07-ddj-handbook-1.md,7,07-ddj-handbook-1_chunk2.md,2,2,33490,word_boundary,context_needed
08-facts-are-sacred.md,8,08-facts-are-sacred_chunk1.md,1,1,27593,single,context_ok
10-finding-stories-spreadsheets.md,10,10-finding-stories-spreadsheets_chunk1.md,1,3,32508,heading_h2,context_ok
10-finding-stories-spreadsheets.md,10,10-finding-stories-spreadsheets_chunk2.md,2,3,38263,heading_h2,context_ok
10-finding-stories-spreadsheets.md,10,10-finding-stories-spreadsheets_chunk3.md,3,3,23543,heading_h2,context_ok
11-data-literacy.md,11,11-data-literacy_chunk1.md,1,2,39996,word_boundary,context_needed
11-data-literacy.md,11,11-data-literacy_chunk2.md,2,2,24800,word_boundary,context_needed
13-curious-journalists-guide-to-data.md,13,13-curious-journalists-guide-to-data_chunk1.md,1,1,32753,single,context_ok
15-investigative-reporters-handbook-6e.md,15,15-investigative-reporters-handbook-6e_chunk1.md,1,5,38355,heading_h2,context_ok
15-investigative-reporters-handbook-6e.md,15,15-investigative-reporters-handbook-6e_chunk2.md,2,5,36724,heading_h2,context_ok
15-investigative-reporters-handbook-6e.md,15,15-investigative-reporters-handbook-6e_chunk3.md,3,5,37949,heading_h2,context_ok
15-investigative-reporters-handbook-6e.md,15,15-investigative-reporters-handbook-6e_chunk4.md,4,5,38187,heading_h2,context_ok
15-investigative-reporters-handbook-6e.md,15,15-investigative-reporters-handbook-6e_chunk5.md,5,5,19706,heading_h2,context_ok
21-digital-investigative-journalism.md,21,21-digital-investigative-journalism_chunk1.md,1,3,39995,word_boundary,context_needed
21-digital-investigative-journalism.md,21,21-digital-investigative-journalism_chunk2.md,2,3,39944,word_boundary,context_needed
21-digital-investigative-journalism.md,21,21-digital-investigative-journalism_chunk3.md,3,3,5630,word_boundary,context_needed
22-ddj-handbook-2.md,22,22-ddj-handbook-2_chunk1.md,1,4,36640,heading_h5,context_ok
22-ddj-handbook-2.md,22,22-ddj-handbook-2_chunk2.md,2,4,35553,heading_h5,context_ok
22-ddj-handbook-2.md,22,22-ddj-handbook-2_chunk3.md,3,4,39079,heading_h5,context_ok
